swe,temp_avg,year,month,day,state,elevation,station_id
15.2,27,2009,01,01,WA,4,1107
16.3,16,2009,01,02,WA,4,1107
16.3,20,2009,01,03,WA,4,1107
16.8,22,2009,01,04,WA,4,1107
18.7,29,2009,01,05,WA,4,1107
18.9,33,2009,01,06,WA,4,1107
19.2,35,2009,01,07,WA,4,1107
20.1,27,2009,01,08,WA,4,1107
20.7,25,2009,01,09,WA,4,1107
20.8,30,2009,01,10,WA,4,1107
21.6,37,2009,01,11,WA,4,1107
21.5,40,2009,01,12,WA,4,1107
21.5,47,2009,01,13,WA,4,1107
21.4,53,2009,01,14,WA,4,1107
21.1,56,2009,01,15,WA,4,1107
21.0,55,2009,01,16,WA,4,1107
20.9,56,2009,01,17,WA,4,1107
20.6,55,2009,01,18,WA,4,1107
20.6,52,2009,01,19,WA,4,1107
20.5,46,2009,01,20,WA,4,1107
20.5,42,2009,01,21,WA,4,1107
20.5,40,2009,01,22,WA,4,1107
20.5,39,2009,01,23,WA,4,1107
20.4,29,2009,01,24,WA,4,1107
20.4,16,2009,01,25,WA,4,1107
20.5,20,2009,01,26,WA,4,1107
20.5,26,2009,01,27,WA,4,1107
21.0,25,2009,01,28,WA,4,1107
21.1,34,2009,01,29,WA,4,1107
21.0,37,2009,01,30,WA,4,1107
21.0,22,2009,01,31,WA,4,1107
21.1,29,2009,02,01,WA,4,1107
21.2,39,2009,02,02,WA,4,1107
21.0,46,2009,02,03,WA,4,1107
21.0,44,2009,02,04,WA,4,1107
20.9,38,2009,02,05,WA,4,1107
21.1,29,2009,02,06,WA,4,1107
21.3,35,2009,02,07,WA,4,1107
21.3,31,2009,02,08,WA,4,1107
21.4,18,2009,02,09,WA,4,1107
21.5,20,2009,02,10,WA,4,1107
22.0,24,2009,02,11,WA,4,1107
22.0,23,2009,02,12,WA,4,1107
22.2,24,2009,02,13,WA,4,1107
22.2,23,2009,02,14,WA,4,1107
22.3,24,2009,02,15,WA,4,1107
22.5,27,2009,02,16,WA,4,1107
22.5,31,2009,02,17,WA,4,1107
22.5,30,2009,02,18,WA,4,1107
22.6,36,2009,02,19,WA,4,1107
22.5,38,2009,02,20,WA,4,1107
22.5,41,2009,02,21,WA,4,1107
22.5,35,2009,02,22,WA,4,1107
23.0,32,2009,02,23,WA,4,1107
23.8,29,2009,02,24,WA,4,1107
24.9,22,2009,02,25,WA,4,1107
26.9,18,2009,02,26,WA,4,1107
26.9,21,2009,02,27,WA,4,1107
27.0,30,2009,02,28,WA,4,1107
27.2,36,2009,03,01,WA,4,1107
27.3,31,2009,03,02,WA,4,1107
28.3,28,2009,03,03,WA,4,1107
28.6,28,2009,03,04,WA,4,1107
28.7,23,2009,03,05,WA,4,1107
28.9,23,2009,03,06,WA,4,1107
28.7,20,2009,03,07,WA,4,1107
29.3,18,2009,03,08,WA,4,1107
29.2,16,2009,03,09,WA,4,1107
29.2,17,2009,03,10,WA,4,1107
29.2,21,2009,03,11,WA,4,1107
29.1,34,2009,03,12,WA,4,1107
29.0,38,2009,03,13,WA,4,1107
28.9,25,2009,03,14,WA,4,1107
30.2,21,2009,03,15,WA,4,1107
33.0,22,2009,03,16,WA,4,1107
35.0,23,2009,03,17,WA,4,1107
35.7,28,2009,03,18,WA,4,1107
36.1,32,2009,03,19,WA,4,1107
36.4,27,2009,03,20,WA,4,1107
37.7,25,2009,03,21,WA,4,1107
37.6,27,2009,03,22,WA,4,1107
37.5,24,2009,03,23,WA,4,1107
38.0,28,2009,03,24,WA,4,1107
38.0,27,2009,03,25,WA,4,1107
38.2,29,2009,03,26,WA,4,1107
38.1,34,2009,03,27,WA,4,1107
38.0,25,2009,03,28,WA,4,1107
38.4,25,2009,03,29,WA,4,1107
38.4,27,2009,03,30,WA,4,1107
38.6,26,2009,03,31,WA,4,1107
39.2,26,2009,04,01,WA,4,1107
39.9,29,2009,04,02,WA,4,1107
40.0,24,2009,04,03,WA,4,1107
40.0,31,2009,04,04,WA,4,1107
40.0,41,2009,04,05,WA,4,1107
39.6,48,2009,04,06,WA,4,1107
39.3,51,2009,04,07,WA,4,1107
38.7,38,2009,04,08,WA,4,1107
38.5,31,2009,04,09,WA,4,1107
38.8,33,2009,04,10,WA,4,1107
38.7,32,2009,04,11,WA,4,1107
38.9,30,2009,04,12,WA,4,1107
41.4,25,2009,04,13,WA,4,1107
41.9,27,2009,04,14,WA,4,1107
42.0,34,2009,04,15,WA,4,1107
41.7,34,2009,04,16,WA,4,1107
41.8,33,2009,04,17,WA,4,1107
42.0,38,2009,04,18,WA,4,1107
41.8,45,2009,04,19,WA,4,1107
41.1,52,2009,04,20,WA,4,1107
40.1,52,2009,04,21,WA,4,1107
39.3,35,2009,04,22,WA,4,1107
39.4,29,2009,04,23,WA,4,1107
39.8,35,2009,04,24,WA,4,1107
39.3,33,2009,04,25,WA,4,1107
39.3,33,2009,04,26,WA,4,1107
39.0,36,2009,04,27,WA,4,1107
38.7,31,2009,04,28,WA,4,1107
39.2,33,2009,04,29,WA,4,1107
39.3,37,2009,04,30,WA,4,1107
39.2,44,2009,05,01,WA,4,1107
38.3,37,2009,05,02,WA,4,1107
38.1,33,2009,05,03,WA,4,1107
38.1,33,2009,05,04,WA,4,1107
39.4,32,2009,05,05,WA,4,1107
42.1,32,2009,05,06,WA,4,1107
43.2,32,2009,05,07,WA,4,1107
43.5,33,2009,05,08,WA,4,1107
43.5,38,2009,05,09,WA,4,1107
43.2,40,2009,05,10,WA,4,1107
42.7,34,2009,05,11,WA,4,1107
42.3,31,2009,05,12,WA,4,1107
42.2,31,2009,05,13,WA,4,1107
42.7,37,2009,05,14,WA,4,1107
42.4,44,2009,05,15,WA,4,1107
41.4,53,2009,05,16,WA,4,1107
40.0,54,2009,05,17,WA,4,1107
38.3,45,2009,05,18,WA,4,1107
37.8,33,2009,05,19,WA,4,1107
37.7,36,2009,05,20,WA,4,1107
37.2,43,2009,05,21,WA,4,1107
36.1,48,2009,05,22,WA,4,1107
34.9,50,2009,05,23,WA,4,1107
33.6,50,2009,05,24,WA,4,1107
32.6,49,2009,05,25,WA,4,1107
31.7,42,2009,05,26,WA,4,1107
31.0,47,2009,05,27,WA,4,1107
