swe,temp_avg,year,month,day,state,elevation,station_id
2.5,3,2011,01,01,WY,8,1132
2.7,13,2011,01,02,WY,8,1132
2.7,13,2011,01,03,WY,8,1132
2.7,15,2011,01,04,WY,8,1132
2.7,26,2011,01,05,WY,8,1132
3.0,38,2011,01,06,WY,8,1132
3.0,33,2011,01,07,WY,8,1132
3.0,26,2011,01,08,WY,8,1132
3.2,3,2011,01,09,WY,8,1132
3.3,-7,2011,01,10,WY,8,1132
3.3,-1,2011,01,11,WY,8,1132
3.3,22,2011,01,12,WY,8,1132
3.5,33,2011,01,13,WY,8,1132
3.5,32,2011,01,14,WY,8,1132
3.5,31,2011,01,15,WY,8,1132
3.5,32,2011,01,16,WY,8,1132
3.6,32,2011,01,17,WY,8,1132
3.7,22,2011,01,18,WY,8,1132
3.8,12,2011,01,19,WY,8,1132
3.9,17,2011,01,20,WY,8,1132
4.0,27,2011,01,21,WY,8,1132
4.0,19,2011,01,22,WY,8,1132
4.0,24,2011,01,23,WY,8,1132
4.3,19,2011,01,24,WY,8,1132
4.3,24,2011,01,25,WY,8,1132
4.5,31,2011,01,26,WY,8,1132
4.5,40,2011,01,27,WY,8,1132
4.5,39,2011,01,28,WY,8,1132
4.5,28,2011,01,29,WY,8,1132
4.5,25,2011,01,30,WY,8,1132
4.5,-5,2011,01,31,WY,8,1132
4.5,-17,2011,02,01,WY,8,1132
4.5,13,2011,02,02,WY,8,1132
4.5,29,2011,02,03,WY,8,1132
4.5,33,2011,02,04,WY,8,1132
4.7,21,2011,02,05,WY,8,1132
4.7,12,2011,02,06,WY,8,1132
4.7,12,2011,02,07,WY,8,1132
4.8,-2,2011,02,08,WY,8,1132
4.8,4,2011,02,09,WY,8,1132
4.8,15,2011,02,10,WY,8,1132
4.8,27,2011,02,11,WY,8,1132
4.9,36,2011,02,12,WY,8,1132
4.9,35,2011,02,13,WY,8,1132
4.9,36,2011,02,14,WY,8,1132
4.9,36,2011,02,15,WY,8,1132
4.9,33,2011,02,16,WY,8,1132
4.8,17,2011,02,17,WY,8,1132
4.8,20,2011,02,18,WY,8,1132
4.8,24,2011,02,19,WY,8,1132
5.1,4,2011,02,20,WY,8,1132
5.1,14,2011,02,21,WY,8,1132
5.2,16,2011,02,22,WY,8,1132
5.3,12,2011,02,23,WY,8,1132
5.3,3,2011,02,24,WY,8,1132
5.3,8,2011,02,25,WY,8,1132
5.4,17,2011,02,26,WY,8,1132
5.4,16,2011,02,27,WY,8,1132
5.4,25,2011,02,28,WY,8,1132
5.5,28,2011,03,01,WY,8,1132
5.5,35,2011,03,02,WY,8,1132
5.5,29,2011,03,03,WY,8,1132
5.7,20,2011,03,04,WY,8,1132
5.6,23,2011,03,05,WY,8,1132
5.8,16,2011,03,06,WY,8,1132
6.1,18,2011,03,07,WY,8,1132
6.2,19,2011,03,08,WY,8,1132
6.2,28,2011,03,09,WY,8,1132
6.2,37,2011,03,10,WY,8,1132
6.3,27,2011,03,11,WY,8,1132
6.3,23,2011,03,12,WY,8,1132
6.3,30,2011,03,13,WY,8,1132
6.4,36,2011,03,14,WY,8,1132
6.4,33,2011,03,15,WY,8,1132
6.4,35,2011,03,16,WY,8,1132
6.8,23,2011,03,17,WY,8,1132
6.8,25,2011,03,18,WY,8,1132
7.1,32,2011,03,19,WY,8,1132
7.1,30,2011,03,20,WY,8,1132
7.1,37,2011,03,21,WY,8,1132
7.0,27,2011,03,22,WY,8,1132
7.0,25,2011,03,23,WY,8,1132
7.0,28,2011,03,24,WY,8,1132
7.0,27,2011,03,25,WY,8,1132
7.4,24,2011,03,26,WY,8,1132
