#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1142: Pierce R.S., ID
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Pierce R.s. (1142) 
# Idaho  SNOTEL Site - 3080 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 1, 2019 4:17:00 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2009-09-30,0.0,,45,27,36,
2009-10-01,0.0,0.0,51,28,38,0.10
2009-10-02,0.0,0.1,57,31,42,0.10
2009-10-03,0.0,0.2,58,39,47,0.00
2009-10-04,0.0,0.2,52,42,48,0.00
2009-10-05,0.0,0.2,57,29,43,0.00
2009-10-06,0.0,0.2,56,24,37,0.00
2009-10-07,0.0,0.2,55,29,39,0.00
2009-10-08,0.0,0.2,52,25,37,0.00
2009-10-09,0.0,0.2,46,25,37,0.00
2009-10-10,0.0,0.2,44,16,28,0.00
2009-10-11,0.0,0.2,42,12,25,0.00
2009-10-12,0.0,0.2,46,12,29,0.10
2009-10-13,0.0,0.3,60,26,41,0.30
2009-10-14,0.0,0.6,53,38,43,0.50
2009-10-15,0.0,1.1,56,36,44,0.00
2009-10-16,0.0,1.1,67,39,49,0.00
2009-10-17,0.0,1.1,61,34,47,0.10
2009-10-18,0.0,1.2,59,38,49,0.00
2009-10-19,0.0,1.2,53,38,44,0.00
2009-10-20,0.0,1.2,54,33,44,0.00
2009-10-21,0.0,1.2,50,31,41,0.20
2009-10-22,0.0,1.4,53,32,43,0.00
2009-10-23,0.0,1.4,46,31,40,0.80
2009-10-24,0.0,2.2,49,35,41,0.00
2009-10-25,0.0,2.2,49,30,38,0.10
2009-10-26,0.0,2.3,47,38,42,0.40
2009-10-27,0.0,2.7,38,33,35,0.10
2009-10-28,0.0,2.8,37,31,33,0.00
2009-10-29,0.0,2.8,36,30,33,0.30
2009-10-30,0.0,3.1,51,35,42,0.20
2009-10-31,0.0,3.3,53,41,45,0.30
2009-11-01,0.0,3.6,46,28,39,0.00
2009-11-02,0.0,3.6,47,24,32,0.10
2009-11-03,0.0,3.7,51,25,33,0.00
2009-11-04,0.0,3.7,53,25,34,0.10
2009-11-05,0.0,3.8,52,28,38,0.10
2009-11-06,0.0,3.9,46,32,40,0.20
2009-11-07,0.0,4.1,46,31,35,0.20
2009-11-08,0.0,4.3,45,30,36,0.00
2009-11-09,0.0,4.3,49,25,34,0.10
2009-11-10,0.0,4.4,43,30,36,0.10
2009-11-11,0.0,4.5,37,29,33,0.30
2009-11-12,0.0,4.8,38,28,33,0.00
2009-11-13,0.0,4.8,38,28,32,0.30
2009-11-14,0.1,5.1,35,19,29,0.00
2009-11-15,0.1,5.1,39,18,28,0.00
2009-11-16,0.1,5.1,43,31,34,0.00
2009-11-17,0.3,5.1,36,31,34,0.10
2009-11-18,0.4,5.2,40,26,33,0.20
2009-11-19,0.5,5.4,37,25,31,0.10
2009-11-20,0.6,5.5,36,30,33,0.20
2009-11-21,0.8,5.7,36,28,33,0.00
2009-11-22,0.8,5.7,37,28,33,0.60
2009-11-23,1.2,6.3,38,33,34,0.00
2009-11-24,1.2,6.3,37,32,34,0.10
2009-11-25,1.2,6.4,42,28,33,0.00
2009-11-26,1.2,6.4,37,26,32,0.00
2009-11-27,1.2,6.4,37,31,35,0.40
2009-11-28,1.2,6.8,38,30,33,0.00
2009-11-29,1.2,6.8,40,27,33,0.00
2009-11-30,1.2,6.8,38,22,30,0.00
2009-12-01,1.2,6.8,37,20,31,0.00
2009-12-02,1.2,6.8,34,14,21,0.00
2009-12-03,1.2,6.8,31,8,17,0.00
2009-12-04,1.2,6.8,28,10,19,0.30
2009-12-05,1.3,7.1,30,20,25,0.00
2009-12-06,1.3,7.1,23,8,16,0.00
2009-12-07,1.3,7.1,18,-3,7,0.00
2009-12-08,1.3,7.1,16,-8,0,0.00
2009-12-09,1.3,7.1,15,-4,7,0.20
2009-12-10,1.3,7.3,23,-4,10,0.00
2009-12-11,1.3,7.3,31,2,13,0.00
2009-12-12,1.3,7.3,29,8,22,0.90
2009-12-13,2.1,8.2,30,21,25,0.20
2009-12-14,2.3,8.4,33,21,28,0.40
2009-12-15,2.7,8.8,35,29,33,0.80
2009-12-16,3.4,9.6,36,33,35,1.00
2009-12-17,3.5,10.6,38,29,34,0.00
2009-12-18,3.5,10.6,38,29,33,0.10
2009-12-19,3.5,10.7,36,31,34,0.20
2009-12-20,3.5,10.9,37,34,35,0.60
2009-12-21,3.5,11.5,37,34,35,0.40
2009-12-22,3.5,11.9,34,30,31,0.00
2009-12-23,3.5,11.9,31,21,28,0.00
2009-12-24,3.5,11.9,33,13,22,0.00
2009-12-25,3.4,11.9,32,9,18,0.00
2009-12-26,3.3,11.9,31,2,13,0.00
2009-12-27,3.2,11.9,31,1,12,0.00
2009-12-28,3.2,11.9,32,6,20,0.10
2009-12-29,3.3,12.0,36,16,24,0.00
2009-12-30,3.3,12.0,31,16,26,0.40
2009-12-31,3.6,12.4,36,28,31,0.40
2010-01-01,4.0,12.8,39,33,35,0.40
2010-01-02,4.3,13.2,37,33,35,0.10
2010-01-03,4.3,13.3,38,27,32,0.00
2010-01-04,4.3,13.3,38,31,34,0.20
2010-01-05,4.4,13.5,36,34,34,0.90
2010-01-06,4.6,14.4,34,11,26,0.00
2010-01-07,4.6,14.4,29,7,15,0.00
2010-01-08,4.6,14.4,29,6,17,0.00
2010-01-09,4.6,14.4,35,21,30,0.00
2010-01-10,4.6,14.4,39,26,31,0.00
2010-01-11,4.6,14.4,36,21,29,0.20
2010-01-12,4.6,14.6,38,34,35,0.30
2010-01-13,4.8,14.9,38,31,34,0.20
2010-01-14,4.8,15.1,42,32,35,0.00
2010-01-15,4.8,15.1,37,29,33,0.00
2010-01-16,4.8,15.1,37,33,35,0.10
2010-01-17,4.8,15.2,41,31,35,0.00
2010-01-18,4.8,15.2,43,28,33,0.00
2010-01-19,4.8,15.2,43,25,33,0.00
2010-01-20,4.8,15.2,48,24,30,0.00
2010-01-21,4.8,15.2,48,22,31,0.00
2010-01-22,4.8,15.2,45,20,33,0.00
2010-01-23,4.8,15.2,36,32,34,0.10
2010-01-24,4.9,15.3,41,30,33,0.00
2010-01-25,4.9,15.3,40,31,34,0.00
2010-01-26,4.9,15.3,38,33,35,0.00
2010-01-27,4.9,15.3,41,32,35,0.00
2010-01-28,4.9,15.3,42,28,33,0.00
2010-01-29,4.9,15.3,45,28,33,0.00
2010-01-30,4.9,15.3,45,27,33,0.00
2010-01-31,4.9,15.3,36,31,34,0.50
2010-02-01,5.4,15.8,41,31,35,0.10
2010-02-02,5.5,15.9,41,28,34,0.00
2010-02-03,5.5,15.9,42,21,31,0.00
2010-02-04,5.5,15.9,47,30,35,0.20
2010-02-05,5.7,16.1,41,32,35,0.00
2010-02-06,5.7,16.1,44,26,33,0.00
2010-02-07,5.7,16.1,42,20,30,0.00
2010-02-08,5.7,16.1,38,32,34,0.00
2010-02-09,5.7,16.1,40,31,35,0.00
2010-02-10,5.7,16.1,43,31,35,0.00
2010-02-11,5.7,16.1,42,33,36,0.10
2010-02-12,5.8,16.2,46,33,37,0.20
2010-02-13,6.0,16.4,47,31,36,0.00
2010-02-14,6.0,16.4,50,30,36,0.10
2010-02-15,6.0,16.5,46,30,36,0.00
2010-02-16,6.0,16.5,39,29,34,0.10
2010-02-17,6.1,16.6,45,29,35,0.00
2010-02-18,6.1,16.6,46,23,31,0.00
2010-02-19,6.1,16.6,42,20,30,0.00
2010-02-20,6.1,16.6,41,21,31,0.00
2010-02-21,6.1,16.6,42,15,26,0.00
2010-02-22,6.1,16.6,45,13,26,0.10
2010-02-23,5.7,16.7,51,15,29,0.10
2010-02-24,5.6,16.8,38,27,34,0.30
2010-02-25,5.6,17.1,42,28,35,0.20
2010-02-26,5.8,17.3,45,25,34,0.10
2010-02-27,5.9,17.4,49,35,38,0.00
2010-02-28,5.9,17.4,51,27,37,0.00
2010-03-01,5.9,17.4,57,23,35,0.00
2010-03-02,5.7,17.4,54,28,36,0.00
2010-03-03,5.5,17.4,51,30,37,0.00
2010-03-04,5.4,17.4,51,29,37,0.00
2010-03-05,5.1,17.4,51,28,38,0.00
2010-03-06,5.1,17.4,56,24,36,0.00
2010-03-07,4.9,17.4,56,24,36,0.00
2010-03-08,4.6,17.4,41,29,35,0.00
2010-03-09,4.6,17.4,34,22,30,0.10
2010-03-10,4.7,17.5,39,16,28,0.20
2010-03-11,4.7,17.7,45,19,32,0.10
2010-03-12,4.7,17.8,56,31,40,0.00
2010-03-13,4.5,17.8,41,28,34,0.10
2010-03-14,4.6,17.9,48,22,32,0.00
2010-03-15,4.6,17.9,57,24,36,0.00
2010-03-16,4.4,17.9,63,27,41,0.00
2010-03-17,4.2,17.9,49,29,39,0.00
2010-03-18,4.0,17.9,49,24,35,0.00
2010-03-19,3.9,17.9,52,22,34,0.00
2010-03-20,3.8,17.9,58,22,36,0.00
2010-03-21,3.5,17.9,53,27,38,0.30
2010-03-22,3.1,18.2,44,31,37,0.10
2010-03-23,2.8,18.3,48,28,36,0.00
2010-03-24,2.6,18.3,56,24,38,0.00
2010-03-25,2.0,18.3,51,27,36,0.30
2010-03-26,1.7,18.6,41,33,36,0.30
2010-03-27,1.9,18.9,55,29,38,0.00
2010-03-28,1.1,18.9,59,28,40,0.20
2010-03-29,0.7,19.1,56,34,42,1.20
2010-03-30,0.6,20.3,43,34,36,0.10
2010-03-31,0.4,20.4,45,29,35,0.10
2010-04-01,0.2,20.5,45,27,34,0.00
2010-04-02,0.0,20.5,42,24,33,0.40
2010-04-03,0.4,20.9,40,26,34,0.00
2010-04-04,0.1,20.9,47,22,33,0.00
2010-04-05,0.0,20.9,39,26,33,0.20
2010-04-06,0.0,21.1,44,30,36,0.10
2010-04-07,0.0,21.2,52,32,39,0.00
2010-04-08,0.0,21.2,43,26,33,0.30
2010-04-09,0.0,21.5,45,22,33,0.00
2010-04-10,0.0,21.5,54,23,38,0.10
2010-04-11,0.0,21.6,57,30,45,0.00
2010-04-12,0.0,21.6,59,35,45,0.70
2010-04-13,0.1,22.3,45,36,40,0.20
2010-04-14,0.0,22.5,59,32,44,0.00
2010-04-15,0.0,22.5,68,31,47,0.00
2010-04-16,0.0,22.5,74,31,52,0.00
2010-04-17,0.0,22.5,64,42,50,0.00
2010-04-18,0.0,22.5,65,36,49,0.00
2010-04-19,0.0,22.5,75,31,51,0.00
2010-04-20,0.0,22.5,75,36,54,0.10
2010-04-21,0.0,22.6,59,41,48,0.30
2010-04-22,0.0,22.9,45,35,42,0.00
2010-04-23,0.0,22.9,55,32,41,0.00
2010-04-24,0.0,22.9,50,32,40,0.00
2010-04-25,0.0,22.9,52,30,39,0.00
2010-04-26,0.0,22.9,67,28,47,0.20
2010-04-27,0.0,23.1,53,34,46,0.90
2010-04-28,0.0,24.0,47,34,38,0.50
2010-04-29,0.0,24.5,39,34,36,0.80
2010-04-30,0.0,25.3,38,34,35,0.70
2010-05-01,0.0,26.0,41,34,37,0.40
2010-05-02,0.0,26.4,49,35,40,0.10
2010-05-03,0.0,26.5,47,36,42,0.80
2010-05-04,0.0,27.3,46,28,37,0.00
2010-05-05,0.0,27.3,47,26,37,0.10
2010-05-06,0.0,27.4,45,31,37,0.10
2010-05-07,0.0,27.5,55,28,41,0.10
2010-05-08,0.0,27.6,53,32,43,0.00
2010-05-09,0.0,27.6,59,31,43,0.00
2010-05-10,0.0,27.6,63,28,46,0.10
2010-05-11,0.0,27.7,59,38,48,0.00
2010-05-12,0.0,27.7,63,32,46,0.00
2010-05-13,0.0,27.7,66,31,48,0.00
2010-05-14,0.0,27.7,72,32,53,0.00
