#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 981: Burnt Mtn, MT
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Burnt Mtn (981) 
# Montana  SNOTEL Site - 5880 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Jul 3, 2021 5:54:22 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2000-09-30,,,64,47,55,
2000-10-01,0.0,0.0,53,44,48,0.20
2000-10-02,0.0,0.2,51,37,44,0.10
2000-10-03,0.0,0.3,40,31,35,0.00
2000-10-04,0.0,0.3,44,23,33,0.00
2000-10-05,0.0,0.3,29,21,26,0.00
2000-10-06,0.0,0.3,40,22,29,0.00
2000-10-07,0.0,0.3,49,20,33,0.00
2000-10-08,0.0,0.3,64,29,47,0.00
2000-10-09,0.0,0.3,68,44,53,0.00
2000-10-10,0.0,0.3,68,43,54,0.00
2000-10-11,0.0,0.3,53,36,42,0.20
2000-10-12,0.0,0.5,50,31,40,0.00
2000-10-13,0.0,0.5,43,33,37,0.20
2000-10-14,0.0,0.7,48,33,39,0.00
2000-10-15,0.0,0.7,55,36,44,0.00
2000-10-16,0.0,0.7,59,38,47,0.00
2000-10-17,0.0,0.7,67,43,53,0.00
2000-10-18,0.0,0.7,71,47,57,0.00
2000-10-19,0.0,0.7,58,39,49,0.00
2000-10-20,0.0,0.7,64,41,51,0.00
2000-10-21,0.0,0.7,58,35,46,0.00
2000-10-22,0.0,0.7,49,31,38,0.00
2000-10-23,0.0,0.7,56,30,41,0.00
2000-10-24,0.0,0.7,56,39,46,0.10
2000-10-25,0.0,0.8,49,38,43,0.10
2000-10-26,0.0,0.9,47,36,40,0.00
2000-10-27,0.0,0.9,56,32,43,0.00
2000-10-28,0.0,0.9,58,39,47,0.00
2000-10-29,0.0,0.9,59,38,47,0.00
2000-10-30,0.0,0.9,42,33,37,0.10
2000-10-31,0.0,1.0,38,33,35,0.10
2000-11-01,0.0,1.1,41,31,34,0.00
2000-11-02,0.0,1.1,41,25,31,0.10
2000-11-03,0.0,1.2,46,24,34,0.00
2000-11-04,0.1,1.2,59,33,42,0.00
2000-11-05,0.1,1.2,34,22,28,0.10
2000-11-06,0.2,1.3,25,15,20,0.30
2000-11-07,0.3,1.6,35,17,22,0.00
2000-11-08,0.3,1.6,34,15,23,0.00
2000-11-09,0.4,1.6,16,4,10,0.10
2000-11-10,0.4,1.7,14,-3,7,0.10
2000-11-11,0.4,1.8,26,-4,9,0.00
2000-11-12,0.5,1.8,26,8,14,0.00
2000-11-13,0.5,1.8,34,9,20,0.00
2000-11-14,0.5,1.8,32,15,21,0.00
2000-11-15,0.5,1.8,29,11,21,0.10
2000-11-16,0.5,1.9,34,8,19,0.00
2000-11-17,0.5,1.9,32,15,21,0.00
2000-11-18,0.4,1.9,44,20,29,0.00
2000-11-19,0.3,1.9,33,17,24,0.00
