#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1195: Golconda, NV
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Golconda (1195) 
# Nevada  SNOTEL Site - 6616 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 1, 2019 4:22:11 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2011-10-01,0.0,0.0,71,56,63,0.10
2011-10-02,0.0,0.1,69,49,59,0.10
2011-10-03,0.0,0.2,69,48,59,0.00
2011-10-04,0.0,0.2,53,42,47,0.30
2011-10-05,0.2,0.5,44,33,39,0.90
2011-10-06,0.3,1.4,40,31,35,0.20
2011-10-07,0.4,1.6,48,34,40,0.10
2011-10-08,0.3,1.7,49,32,40,0.00
2011-10-09,0.3,1.7,54,35,45,0.00
2011-10-10,0.0,1.7,49,40,46,0.40
2011-10-11,0.0,2.1,56,47,51,0.00
2011-10-12,0.0,2.1,59,40,50,0.00
2011-10-13,0.0,2.1,66,48,56,0.00
2011-10-14,0.0,2.1,69,49,58,0.00
2011-10-15,0.0,2.1,70,53,60,0.00
2011-10-16,0.0,2.1,64,38,55,0.10
2011-10-17,0.0,2.2,56,35,45,0.10
2011-10-18,0.0,2.3,62,41,51,0.00
2011-10-19,0.0,2.3,60,44,53,0.00
2011-10-20,0.0,2.3,60,44,52,0.00
2011-10-21,0.0,2.3,61,44,52,0.00
2011-10-22,0.0,2.3,61,43,50,0.00
2011-10-23,0.0,2.3,64,44,53,0.00
2011-10-24,0.0,2.3,59,33,50,0.20
2011-10-25,0.0,2.5,42,25,34,0.00
2011-10-26,0.0,2.5,40,21,31,0.00
2011-10-27,0.0,2.5,48,29,38,0.00
2011-10-28,0.0,2.5,52,35,44,0.00
2011-10-29,0.0,2.5,56,41,49,0.00
2011-10-30,0.0,2.5,56,38,47,0.00
2011-10-31,0.0,2.5,57,34,48,0.00
2011-11-01,0.0,2.5,38,21,30,0.00
2011-11-02,0.0,2.5,44,20,32,0.10
2011-11-03,0.1,2.6,51,30,43,0.00
2011-11-04,0.1,2.6,32,21,26,0.20
2011-11-05,0.3,2.8,31,20,25,0.10
2011-11-06,0.4,2.9,33,24,27,0.20
2011-11-07,0.6,3.1,33,20,27,0.00
2011-11-08,0.6,3.1,36,19,27,0.00
2011-11-09,0.6,3.1,40,23,32,0.10
2011-11-10,0.7,3.2,46,30,37,0.00
2011-11-11,0.7,3.2,45,31,39,0.00
2011-11-12,0.7,3.2,40,33,36,0.00
2011-11-13,0.7,3.2,46,34,39,0.00
2011-11-14,0.7,3.2,47,37,41,0.00
2011-11-15,0.7,3.2,40,27,33,0.00
2011-11-16,0.7,3.2,44,24,36,0.00
2011-11-17,0.7,3.2,48,39,43,0.00
2011-11-18,0.7,3.2,39,21,32,0.50
2011-11-19,1.0,3.7,31,18,23,0.00
2011-11-20,1.0,3.7,36,21,28,0.00
2011-11-21,1.0,3.7,39,28,34,0.00
2011-11-22,1.0,3.7,48,36,42,0.10
2011-11-23,1.0,3.8,52,40,48,0.00
2011-11-24,1.0,3.8,47,37,41,0.00
2011-11-25,0.9,3.8,42,28,36,0.00
2011-11-26,0.9,3.8,44,28,36,0.00
2011-11-27,0.9,3.8,59,37,47,0.00
2011-11-28,0.9,3.8,51,33,44,0.00
2011-11-29,0.8,3.8,48,34,42,0.00
2011-11-30,0.7,3.8,46,24,31,0.00
2011-12-01,0.7,3.8,31,21,26,0.00
2011-12-02,0.7,3.8,41,14,29,0.00
2011-12-03,0.7,3.8,29,11,21,0.10
2011-12-04,0.8,3.9,35,18,27,0.00
2011-12-05,0.8,3.9,28,13,20,0.00
2011-12-06,0.8,3.9,36,18,27,0.00
2011-12-07,0.8,3.9,42,28,35,0.00
2011-12-08,0.8,3.9,40,28,32,0.00
2011-12-09,0.8,3.9,43,28,34,0.00
2011-12-10,0.8,3.9,41,28,33,0.00
2011-12-11,0.8,3.9,41,26,32,0.00
2011-12-12,0.8,3.9,35,21,28,0.00
2011-12-13,0.8,3.9,33,20,28,0.00
2011-12-14,0.8,3.9,36,25,30,0.00
2011-12-15,0.8,3.9,34,26,29,0.00
2011-12-16,0.8,3.9,37,19,28,0.00
2011-12-17,0.8,3.9,46,28,36,0.00
2011-12-18,0.8,3.9,46,28,35,0.00
2011-12-19,0.8,3.9,34,22,28,0.00
2011-12-20,0.8,3.9,42,23,33,0.00
2011-12-21,0.8,3.9,37,12,26,0.00
2011-12-22,0.8,3.9,29,10,19,0.00
2011-12-23,0.8,3.9,38,18,28,0.00
2011-12-24,0.8,3.9,41,26,32,0.00
2011-12-25,0.8,3.9,49,28,39,0.00
2011-12-26,0.8,3.9,47,31,41,0.00
2011-12-27,0.8,3.9,45,34,39,0.00
2011-12-28,0.8,3.9,48,40,45,0.00
2011-12-29,0.8,3.9,47,40,43,0.10
2011-12-30,0.9,4.0,50,27,42,0.00
2011-12-31,0.9,4.0,35,19,27,0.00
2012-01-01,0.9,4.0,51,28,40,0.00
2012-01-02,0.8,4.0,53,40,50,0.00
2012-01-03,0.7,4.0,53,38,46,0.00
2012-01-04,0.6,4.0,58,39,49,0.00
2012-01-05,0.6,4.0,55,30,47,0.00
2012-01-06,0.5,4.0,44,28,36,0.00
2012-01-07,0.5,4.0,32,18,26,0.00
2012-01-08,0.5,4.0,37,21,29,0.00
2012-01-09,0.5,4.0,44,28,34,0.00
2012-01-10,0.5,4.0,48,24,36,0.00
2012-01-11,0.4,4.0,34,19,27,0.00
2012-01-12,0.4,4.0,39,22,30,0.00
2012-01-13,0.4,4.0,46,30,36,0.00
2012-01-14,0.4,4.0,49,36,44,0.00
2012-01-15,0.4,4.0,44,17,35,0.20
2012-01-16,0.6,4.2,22,7,15,0.00
2012-01-17,0.6,4.2,29,7,21,0.00
2012-01-18,0.6,4.2,40,29,36,0.00
2012-01-19,0.6,4.2,43,34,40,0.20
2012-01-20,0.7,4.4,47,36,41,0.90
2012-01-21,0.6,5.3,42,25,32,2.10
2012-01-22,0.9,7.4,36,23,29,0.10
2012-01-23,1.0,7.5,35,21,29,0.50
2012-01-24,1.4,8.0,42,19,32,0.00
2012-01-25,1.4,8.0,46,36,42,0.00
2012-01-26,1.4,8.0,42,30,39,0.20
2012-01-27,1.6,8.2,33,17,25,0.00
2012-01-28,1.6,8.2,40,21,31,0.00
2012-01-29,1.6,8.2,44,32,39,0.00
2012-01-30,1.6,8.2,45,28,38,0.00
2012-01-31,1.6,8.2,45,28,37,0.00
2012-02-01,1.6,8.2,41,26,34,0.20
2012-02-02,1.8,8.4,31,16,23,0.00
2012-02-03,1.8,8.4,33,16,26,0.00
2012-02-04,1.8,8.4,38,22,29,0.00
2012-02-05,1.8,8.4,39,21,29,0.00
2012-02-06,1.8,8.4,38,23,30,0.00
2012-02-07,1.7,8.4,38,25,33,0.00
2012-02-08,1.7,8.4,44,30,35,0.00
2012-02-09,1.7,8.4,49,31,39,0.00
2012-02-10,1.5,8.4,52,36,43,0.00
2012-02-11,1.1,8.4,43,31,38,0.00
2012-02-12,0.9,8.4,41,30,32,0.00
2012-02-13,0.9,8.4,34,28,30,0.20
2012-02-14,1.1,8.6,36,24,30,0.20
2012-02-15,1.2,8.8,30,16,23,0.10
2012-02-16,1.4,8.9,33,15,24,0.10
2012-02-17,1.5,9.0,40,22,33,0.00
