#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1077: Swan Lake Mtn, OR
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Swan Lake Mtn (1077) 
# Oregon  SNOTEL Site - 6830 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Jul 3, 2021 6:00:41 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2006-10-01,0.0,,,,,
2006-10-02,0.0,,,,,
2006-10-03,0.0,,,,,
2006-10-04,0.0,,,,,
2006-10-05,0.0,,,,,
2006-10-06,0.0,,,,,
2006-10-07,0.0,,,,,
2006-10-08,0.0,,,,,
2006-10-09,0.0,,,,,
2006-10-10,0.0,,,,,
2006-10-11,0.0,,,,,
2006-10-12,0.0,,,,,
2006-10-13,0.0,,,,,
2006-10-14,0.0,,,,,
2006-10-15,0.0,,,,,
2006-10-16,0.0,,,,,
2006-10-17,,,,,,
2006-10-18,0.0,0.3,60,29,40,0.00
2006-10-19,0.0,0.3,68,31,51,0.00
2006-10-20,0.0,0.3,66,24,49,0.00
2006-10-21,0.0,0.3,67,20,42,0.00
2006-10-22,0.0,0.3,72,27,45,0.00
2006-10-23,0.0,0.3,72,25,43,0.00
2006-10-24,0.0,0.3,62,13,36,0.00
2006-10-25,0.0,0.3,54,11,34,0.00
2006-10-26,0.0,0.3,65,18,40,0.00
2006-10-27,0.0,0.3,74,27,52,0.00
2006-10-28,0.0,0.3,73,31,54,0.00
2006-10-29,0.0,0.3,61,18,39,0.00
2006-10-30,0.0,0.3,50,9,29,0.00
2006-10-31,0.0,0.3,52,12,35,0.00
2006-11-01,0.0,0.3,51,15,35,0.00
2006-11-02,0.0,0.3,47,17,43,0.20
2006-11-03,0.0,0.5,46,43,45,1.10
2006-11-04,0.0,1.6,50,44,47,0.10
2006-11-05,0.0,1.7,54,44,50,0.00
2006-11-06,0.0,1.7,59,51,56,0.00
2006-11-07,0.2,1.7,60,44,55,0.30
2006-11-08,0.2,2.0,50,15,35,0.30
2006-11-09,0.3,2.3,40,10,32,0.10
2006-11-10,0.4,2.4,44,13,30,0.00
2006-11-11,0.7,2.4,38,10,32,0.30
2006-11-12,0.9,2.7,37,13,28,1.20
2006-11-13,2.7,3.9,42,15,37,1.30
2006-11-14,3.7,5.2,42,14,34,0.00
2006-11-15,4.1,5.2,47,15,40,0.10
2006-11-16,4.4,5.3,49,17,44,0.40
2006-11-17,4.1,5.7,49,17,43,0.00
2006-11-18,4.2,5.7,54,15,44,0.00
2006-11-19,4.2,5.7,57,35,46,0.00
2006-11-20,4.2,5.7,53,36,46,0.20
2006-11-21,4.0,5.9,44,15,38,0.10
2006-11-22,3.9,6.0,42,12,36,0.40
2006-11-23,4.3,6.4,32,9,29,0.00
2006-11-24,4.1,6.4,39,14,33,0.10
2006-11-25,4.4,6.5,36,13,31,0.00
2006-11-26,4.6,6.5,35,9,32,1.30
