#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1249: Sunflower Flat, UT
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Sunflower Flat (1249) 
# Utah  SNOTEL Site - 10018 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Jul 3, 2021 6:04:58 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2013-10-23,0.0,0.5,,,,0.00
2013-10-24,0.0,0.5,48,36,40,0.00
2013-10-25,0.0,0.5,46,35,39,0.00
2013-10-26,0.0,0.5,49,35,40,0.00
2013-10-27,0.0,0.5,45,33,39,0.00
2013-10-28,0.0,0.5,41,27,34,0.40
2013-10-29,0.3,0.9,30,19,24,0.40
2013-10-30,0.8,1.3,30,17,24,0.00
2013-10-31,0.8,1.3,36,19,29,0.00
2013-11-01,0.8,1.3,42,27,36,0.00
2013-11-02,0.8,1.3,47,33,39,0.00
2013-11-03,0.8,1.3,40,22,32,0.00
2013-11-04,0.8,1.3,29,15,24,0.00
2013-11-05,0.8,1.3,28,12,20,0.00
2013-11-06,0.8,1.3,37,24,31,0.00
2013-11-07,0.8,1.3,46,31,39,0.10
2013-11-08,0.9,1.4,48,35,41,0.00
2013-11-09,0.9,1.4,46,34,39,0.00
2013-11-10,0.9,1.4,47,33,40,0.00
2013-11-11,0.9,1.4,47,37,41,0.00
2013-11-12,0.9,1.4,48,35,40,0.00
2013-11-13,0.9,1.4,46,32,38,0.00
2013-11-14,0.9,1.4,42,31,35,0.00
2013-11-15,0.9,1.4,36,27,31,0.00
2013-11-16,0.9,1.4,35,25,29,0.00
2013-11-17,0.9,1.4,39,25,31,0.00
2013-11-18,0.9,1.4,42,29,35,0.00
2013-11-19,0.9,1.4,,,,0.00
2013-11-20,0.9,1.4,32,26,29,0.10
2013-11-21,1.0,1.5,34,21,28,0.60
2013-11-22,1.6,2.1,26,19,23,1.30
2013-11-23,2.9,3.4,28,23,25,1.20
2013-11-24,4.1,4.6,29,17,24,0.00
2013-11-25,4.1,4.6,33,23,30,0.00
2013-11-26,4.1,4.6,37,25,31,0.00
2013-11-27,4.1,4.6,39,26,30,0.00
2013-11-28,4.1,4.6,35,24,28,0.00
2013-11-29,4.1,4.6,34,22,28,0.00
2013-11-30,4.1,4.6,37,22,28,0.00
2013-12-01,4.1,4.6,42,26,34,0.00
2013-12-02,4.1,4.6,41,31,36,0.00
2013-12-03,4.1,4.6,34,24,29,0.90
2013-12-04,4.9,5.5,24,-7,8,0.30
2013-12-05,5.1,5.8,7,-8,0,0.00
2013-12-06,5.1,5.8,13,-7,6,0.00
2013-12-07,5.1,5.8,12,4,8,0.70
2013-12-08,6.2,6.5,10,-5,1,0.00
2013-12-09,6.2,6.5,20,-9,7,0.00
2013-12-10,6.2,6.5,32,15,24,0.00
2013-12-11,6.2,6.5,34,18,24,0.00
2013-12-12,6.2,6.5,39,24,30,0.00
2013-12-13,6.2,6.5,32,19,26,0.10
2013-12-14,6.3,6.6,35,17,26,0.00
2013-12-15,6.3,6.6,40,30,35,0.00
2013-12-16,6.3,6.6,47,30,38,0.00
2013-12-17,6.3,6.6,49,33,40,0.00
2013-12-18,6.3,6.6,44,30,38,0.00
2013-12-19,6.3,6.6,31,20,25,0.00
2013-12-20,6.3,6.6,29,16,21,0.00
2013-12-21,6.3,6.6,28,16,22,0.00
2013-12-22,6.3,6.6,24,17,21,0.10
2013-12-23,6.4,6.7,35,18,28,0.00
2013-12-24,6.4,6.7,36,21,29,0.00
2013-12-25,6.4,6.7,35,24,31,0.00
2013-12-26,6.4,6.7,39,28,33,0.00
2013-12-27,6.4,6.7,41,30,35,0.00
2013-12-28,6.4,6.7,38,19,31,0.00
2013-12-29,6.4,6.7,31,15,24,0.00
2013-12-30,6.4,6.7,39,27,33,0.00
2013-12-31,6.4,6.7,43,27,35,0.00
2014-01-01,6.4,6.7,34,25,30,0.00
2014-01-02,6.4,6.7,42,26,34,0.00
2014-01-03,6.4,6.7,42,27,35,0.00
2014-01-04,6.4,6.7,32,6,19,0.00
2014-01-05,6.4,6.7,24,8,16,0.00
2014-01-06,6.4,6.7,38,23,31,0.00
2014-01-07,6.4,6.7,38,23,31,0.00
2014-01-08,6.3,6.7,32,19,26,0.00
2014-01-09,6.3,6.7,30,17,24,0.00
2014-01-10,6.3,6.7,34,21,27,0.00
2014-01-11,6.3,6.7,44,28,35,0.00
2014-01-12,6.3,6.7,33,16,22,0.00
2014-01-13,6.3,6.7,36,18,27,0.00
2014-01-14,6.3,6.7,36,29,33,0.00
2014-01-15,6.2,6.7,42,31,36,0.00
2014-01-16,6.2,6.7,37,29,33,0.00
2014-01-17,6.2,6.7,41,30,34,0.00
2014-01-18,6.2,6.7,40,28,33,0.00
2014-01-19,6.2,6.7,43,28,35,0.00
2014-01-20,6.2,6.7,38,26,33,0.00
2014-01-21,6.2,6.7,42,26,33,0.00
2014-01-22,6.1,6.7,39,22,30,0.00
2014-01-23,6.1,6.7,24,14,20,0.00
2014-01-24,6.1,6.7,38,21,30,0.00
2014-01-25,6.1,6.7,42,31,35,0.00
2014-01-26,6.1,6.7,40,29,34,0.00
2014-01-27,6.1,6.7,36,25,31,0.00
2014-01-28,6.1,6.7,34,25,29,0.00
2014-01-29,6.1,6.7,41,24,35,0.00
2014-01-30,6.1,6.7,38,23,32,0.30
2014-01-31,6.4,7.0,29,13,21,0.20
2014-02-01,6.5,7.2,17,3,11,0.00
2014-02-02,6.5,7.2,18,2,11,0.00
2014-02-03,6.5,7.2,24,8,15,0.20
2014-02-04,6.7,7.4,18,3,10,0.00
2014-02-05,6.7,7.4,20,4,12,0.00
2014-02-06,6.7,7.4,29,10,19,0.20
2014-02-07,6.8,7.6,31,17,23,0.00
2014-02-08,6.8,7.6,38,29,32,0.00
2014-02-09,6.8,7.6,40,27,34,0.00
2014-02-10,6.8,7.6,37,22,29,0.00
2014-02-11,6.8,7.6,33,20,26,0.00
2014-02-12,6.8,7.6,42,21,32,0.10
2014-02-13,6.9,7.7,45,30,38,0.00
2014-02-14,6.9,7.7,46,32,39,0.00
2014-02-15,6.9,7.7,49,35,41,0.00
2014-02-16,6.9,7.7,42,28,36,0.00
2014-02-17,6.9,7.7,41,25,33,0.00
2014-02-18,6.9,7.7,46,28,35,0.00
2014-02-19,6.9,7.7,39,9,26,0.00
2014-02-20,6.9,7.7,27,9,19,0.00
2014-02-21,6.9,7.7,37,22,28,0.00
2014-02-22,6.9,7.7,38,23,29,0.00
2014-02-23,6.9,7.7,40,23,32,0.00
2014-02-24,6.9,7.7,45,30,36,0.00
2014-02-25,6.9,7.7,45,28,35,0.00
2014-02-26,6.9,7.7,46,29,36,0.00
2014-02-27,6.9,7.7,33,25,29,0.20
2014-02-28,7.1,7.9,35,20,28,1.10
2014-03-01,7.9,9.0,31,20,26,0.30
2014-03-02,8.4,9.3,37,19,27,0.00
2014-03-03,8.4,9.3,41,22,30,0.00
2014-03-04,8.4,9.3,38,26,30,0.00
2014-03-05,8.4,9.3,43,23,33,0.00
2014-03-06,8.4,9.3,44,31,37,0.00
2014-03-07,8.4,9.3,35,22,27,0.00
2014-03-08,8.4,9.3,33,21,27,0.00
2014-03-09,8.4,9.3,49,26,38,0.00
2014-03-10,8.4,9.3,46,24,38,0.00
2014-03-11,8.4,9.3,30,15,22,0.30
2014-03-12,9.0,9.6,33,13,21,0.00
2014-03-13,9.0,9.6,39,19,29,0.00
2014-03-14,9.0,9.6,44,24,33,0.00
2014-03-15,9.0,9.6,33,22,28,0.00
2014-03-16,9.0,9.6,49,29,38,0.00
2014-03-17,9.0,9.6,44,12,33,0.00
2014-03-18,9.0,9.6,32,9,19,0.00
2014-03-19,9.0,9.6,38,11,27,0.00
2014-03-20,9.0,9.6,44,22,34,0.00
2014-03-21,9.0,9.6,43,28,35,0.00
2014-03-22,9.0,9.6,36,22,30,0.00
2014-03-23,9.0,9.6,42,20,32,0.00
2014-03-24,9.0,9.6,46,28,36,0.00
2014-03-25,9.0,9.6,46,29,38,0.00
2014-03-26,9.0,9.6,37,21,30,0.10
2014-03-27,9.1,9.7,35,22,27,0.00
2014-03-28,9.1,9.7,40,21,29,0.00
2014-03-29,9.1,9.7,43,27,35,0.00
2014-03-30,9.1,9.7,37,16,28,0.10
2014-03-31,9.3,9.8,35,14,27,0.00
2014-04-01,9.3,9.8,32,20,26,0.00
2014-04-02,9.3,9.8,31,14,21,0.20
2014-04-03,9.5,10.0,35,16,23,0.00
2014-04-04,9.5,10.0,35,18,27,0.00
2014-04-05,9.5,10.0,38,22,27,0.10
2014-04-06,9.8,10.1,35,22,29,0.10
2014-04-07,9.9,10.2,49,29,38,0.00
2014-04-08,9.9,10.2,51,34,43,0.00
2014-04-09,9.6,10.2,55,39,46,0.00
2014-04-10,9.4,10.2,54,38,46,0.00
2014-04-11,9.3,10.2,54,38,46,0.00
2014-04-12,9.2,10.2,49,37,42,0.00
2014-04-13,9.2,10.2,37,20,28,0.10
2014-04-14,9.3,10.3,41,15,29,0.00
2014-04-15,9.3,10.3,49,30,39,0.00
2014-04-16,9.2,10.3,41,31,34,0.00
2014-04-17,9.1,10.3,50,29,41,0.00
2014-04-18,8.8,10.3,49,36,42,0.00
2014-04-19,8.4,10.3,47,35,39,0.10
2014-04-20,8.1,10.4,50,37,43,0.00
2014-04-21,7.7,10.4,54,38,46,0.00
2014-04-22,7.1,10.4,49,35,43,0.00
2014-04-23,6.4,10.4,41,28,33,0.00
2014-04-24,6.0,10.4,47,28,38,0.00
2014-04-25,5.4,10.4,48,35,40,0.00
2014-04-26,4.8,10.4,38,24,30,0.90
2014-04-27,5.7,11.3,35,21,27,0.00
2014-04-28,5.7,11.3,30,20,25,0.00
2014-04-29,5.7,11.3,34,19,26,0.00
2014-04-30,5.7,11.3,33,21,26,0.00
2014-05-01,5.7,11.3,49,25,38,0.00
2014-05-02,5.4,11.3,58,37,47,0.00
2014-05-03,4.4,11.3,59,43,51,0.00
2014-05-04,2.8,11.3,58,43,48,0.00
2014-05-05,1.7,11.3,55,40,46,0.00
2014-05-06,0.8,11.3,46,29,38,0.00
2014-05-07,0.5,11.3,33,25,28,0.50
2014-05-08,1.1,11.8,45,25,33,0.00
2014-05-09,1.0,11.8,51,33,40,0.00
2014-05-10,0.5,11.8,49,32,39,0.20
2014-05-11,0.6,12.0,32,22,27,0.50
2014-05-12,1.7,12.5,31,21,25,0.00
2014-05-13,1.7,12.5,36,19,28,0.00
2014-05-14,1.7,12.5,49,27,38,0.00
2014-05-15,0.8,12.5,56,38,47,0.00
2014-05-16,0.3,12.5,57,47,52,0.00
2014-05-17,0.0,12.5,61,49,54,0.00
2014-05-18,0.0,12.5,60,44,51,0.00
2014-05-19,0.0,12.5,57,40,48,0.00
2014-05-20,0.0,12.5,54,37,45,0.00
2014-05-21,0.0,12.5,52,35,43,0.00
2014-05-22,0.0,12.5,55,36,45,0.00
2014-05-23,0.0,12.5,44,33,38,0.40
2014-05-24,0.0,12.9,48,32,39,0.00
2014-05-25,0.0,12.9,51,38,44,0.00
2014-05-26,0.0,12.9,60,42,51,0.00
2014-05-27,0.0,12.9,65,48,56,0.00
2014-05-28,0.0,12.9,66,49,57,0.00
2014-05-29,0.0,12.9,57,46,51,0.00
2014-05-30,0.0,12.9,62,46,53,0.00
2014-05-31,0.0,12.9,62,44,54,0.00
2014-06-01,0.0,12.9,63,47,54,0.00
2014-06-02,0.0,12.9,64,46,56,0.00
2014-06-03,0.0,12.9,65,46,54,0.00
2014-06-04,0.0,12.9,66,43,56,0.00
2014-06-05,0.0,12.9,63,43,54,0.00
2014-06-06,0.0,12.9,64,47,55,0.00
2014-06-07,0.0,12.9,61,47,54,0.00
2014-06-08,0.0,12.9,57,43,51,0.00
2014-06-09,0.0,12.9,62,37,51,0.00
2014-06-10,0.0,12.9,67,46,58,0.00
2014-06-11,0.0,12.9,64,45,54,0.10
2014-06-12,0.0,13.0,65,48,56,0.00
2014-06-13,0.0,13.0,64,46,54,0.00
2014-06-14,0.0,13.0,55,40,47,0.00
2014-06-15,0.0,13.0,61,39,51,0.00
2014-06-16,0.0,13.0,59,42,50,0.00
2014-06-17,0.0,13.0,59,42,49,0.00
2014-06-18,0.0,13.0,58,34,46,0.00
2014-06-19,0.0,13.0,60,36,50,0.00
2014-06-20,0.0,13.0,66,47,57,0.00
2014-06-21,0.0,13.0,65,51,58,0.00
2014-06-22,0.0,13.0,67,51,58,0.00
2014-06-23,0.0,13.0,69,51,59,0.00
2014-06-24,0.0,13.0,69,52,61,0.00
2014-06-25,0.0,13.0,69,50,60,0.00
2014-06-26,0.0,13.0,62,44,54,0.00
2014-06-27,0.0,13.0,62,42,51,0.00
2014-06-28,0.0,13.0,69,46,58,0.00
2014-06-29,0.0,13.0,76,56,65,0.00
2014-06-30,0.0,13.0,74,54,64,0.00
2014-07-01,0.0,13.0,69,53,60,0.00
2014-07-02,0.0,13.0,70,54,62,0.00
2014-07-03,0.0,13.0,66,53,59,0.00
2014-07-04,0.0,13.0,70,52,59,0.00
2014-07-05,0.0,13.0,70,51,58,0.00
2014-07-06,0.0,13.0,71,52,62,0.00
2014-07-07,0.0,13.0,74,56,64,0.00
2014-07-08,0.0,13.0,75,52,60,0.10
2014-07-09,0.0,13.1,69,52,59,0.00
2014-07-10,0.0,13.1,68,48,57,0.10
2014-07-11,0.0,13.2,68,48,58,0.10
2014-07-12,0.0,13.3,69,52,60,0.00
2014-07-13,0.0,13.3,72,54,63,0.00
2014-07-14,0.0,13.3,75,51,62,0.10
2014-07-15,0.0,13.4,66,51,59,0.00
2014-07-16,0.0,13.4,68,53,60,0.00
2014-07-17,0.0,13.4,72,54,62,0.00
2014-07-18,0.0,13.4,68,53,60,0.10
2014-07-19,0.0,13.5,71,56,62,0.00
2014-07-20,0.0,13.5,69,55,61,0.00
2014-07-21,0.0,13.5,70,53,60,0.00
2014-07-22,0.0,13.5,75,52,64,0.00
2014-07-23,0.0,13.5,76,55,66,0.00
2014-07-24,0.0,13.5,71,53,61,0.00
2014-07-25,0.0,13.5,71,54,60,0.10
2014-07-26,0.0,13.6,70,54,60,0.00
2014-07-27,0.0,13.6,74,50,61,0.10
2014-07-28,0.0,13.7,65,49,55,0.30
2014-07-29,0.0,14.0,63,43,53,0.90
2014-07-30,0.0,14.9,63,48,54,0.20
2014-07-31,0.0,15.1,61,46,53,0.50
2014-08-01,0.0,15.6,62,47,55,0.00
2014-08-02,0.0,15.6,66,49,57,0.00
