#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 553: June Lake, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# June Lake (553) 
# Washington  SNOTEL Site - 3440 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Jul 3, 2021 6:05:30 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1980-12-10,,,32,,32,
1980-12-11,,,32,,32,
1980-12-12,,,32,,32,
1980-12-13,,,32,,32,
1980-12-14,,,32,,32,
1980-12-15,,,32,,32,
1980-12-16,,,32,,32,
1980-12-17,,,32,,32,
1980-12-18,,,32,,32,
1980-12-19,,,32,,32,
1980-12-20,,,32,,32,
1980-12-21,,,32,,32,
1980-12-22,,,32,,32,
1980-12-23,,,32,,32,
1980-12-24,,,32,,32,
1980-12-25,,,32,,32,
1980-12-26,,,32,,32,
1980-12-27,,,32,,32,
1980-12-28,,,32,,32,
1980-12-29,,,32,,32,
1980-12-30,,,,,,
1980-12-31,,,32,,32,
1981-01-01,,,32,,32,
1981-01-02,,,32,,32,
1981-01-03,,,32,,32,
1981-01-04,,,32,,32,
1981-01-05,,,32,,32,
1981-01-06,,,32,,32,
1981-01-07,,,32,,32,
1981-01-08,,,32,,32,
1981-01-09,,,32,,32,
1981-01-10,,,32,,32,
1981-01-11,,,32,,32,
1981-01-12,,,32,,32,
1981-01-13,,,32,,32,
1981-01-14,,,32,,32,
1981-01-15,,,32,,32,
1981-01-16,,,32,,32,
1981-01-17,,,32,,32,
1981-01-18,,,32,,32,
1981-01-19,,,32,,32,
1981-01-20,,,32,,32,
1981-01-21,,,32,,32,
1981-01-22,,,32,,32,
1981-01-23,,,32,,32,
1981-01-24,,,32,,32,
1981-01-25,,,32,,32,
1981-01-26,,,32,,32,
1981-01-27,,,32,,32,
1981-01-28,,,32,,32,
1981-01-29,,,32,,32,
1981-01-30,,,32,,32,
1981-01-31,,,32,,32,
1981-02-01,,,32,,32,
1981-02-02,,,32,,32,
1981-02-03,,,32,,32,
1981-02-04,,,32,,32,
1981-02-05,,,32,,32,
1981-02-06,,,32,,32,
1981-02-07,,,32,,32,
1981-02-08,,,32,,32,
1981-02-09,,,32,,32,
1981-02-10,,,32,,32,
1981-02-11,,,32,,32,
1981-02-12,,,32,,32,
1981-02-13,,,,,,
1981-02-14,,,32,,32,
1981-02-15,,,32,,32,
1981-02-16,,,32,,32,
1981-02-17,,,,,,
1981-02-18,,,32,,32,
1981-02-19,,,,,,
1981-02-20,,,32,,32,
1981-02-21,,,32,,32,
1981-02-22,,,32,,32,
1981-02-23,,,32,,32,
1981-02-24,,,32,,32,
1981-02-25,,,32,,32,
1981-02-26,,,32,,32,
1981-02-27,,,32,,32,
1981-02-28,,,32,,32,
1981-03-01,,,32,,32,
1981-03-02,,,32,,32,
1981-03-03,,,32,,32,
1981-03-04,,,32,,32,
1981-03-05,,,32,,32,
1981-03-06,,,32,,32,
1981-03-07,,,32,,32,
1981-03-08,,,32,,32,
1981-03-09,,,32,,32,
1981-03-10,,,32,,32,
1981-03-11,,,32,,32,
1981-03-12,,,32,,32,
1981-03-13,,,32,,32,
1981-03-14,,,,,,
1981-03-15,,,,,,
1981-03-16,,,,,,
1981-03-17,,,,,,
1981-03-18,,,,,,
1981-03-19,,,,,,
1981-03-20,,,,,,
1981-03-21,,,32,,32,
1981-03-22,,,32,,32,
1981-03-23,,,32,,32,
1981-03-24,,,32,,32,
1981-03-25,,,32,,32,
1981-03-26,,,32,,32,
1981-03-27,,,32,,32,
1981-03-28,,,32,,32,
1981-03-29,,,32,,32,
1981-03-30,,,32,,32,
1981-03-31,,,32,,32,
1981-04-01,,,32,,32,
1981-04-02,,,32,,32,
1981-04-03,,,32,,32,
1981-04-04,,,32,,32,
1981-04-05,,,32,,32,
1981-04-06,,,32,,32,
1981-04-07,,,32,,32,
1981-04-08,,,32,,32,
1981-04-09,,,32,,32,
1981-04-10,,,32,,32,
1981-04-11,,,32,,32,
1981-04-12,,,32,,32,
1981-04-13,,,32,,32,
1981-04-14,,,32,,32,
1981-04-15,,,32,,32,
1981-04-16,,,32,,32,
1981-04-17,,,32,,32,
1981-04-18,,,32,,32,
1981-04-19,,,32,,32,
1981-04-20,,,32,,32,
1981-04-21,,,32,,32,
1981-04-22,,,32,,32,
1981-04-23,,,32,,32,
1981-04-24,,,32,,32,
1981-04-25,,,,,,
1981-04-26,,,32,,32,
1981-04-27,,,32,,32,
1981-04-28,,,32,,32,
1981-04-29,,,32,,32,
1981-04-30,,,32,,32,
1981-05-01,,,32,,32,
1981-05-02,,,,,,
1981-05-03,,,,,,
1981-05-04,,,32,,32,
1981-05-05,,,32,,32,
1981-05-06,,,32,,32,
1981-05-07,,,32,,32,
1981-05-08,,,,,,
1981-05-09,,,32,,32,
1981-05-10,,,32,,32,
1981-05-11,,,32,,32,
1981-05-12,,,32,,32,
1981-05-13,,,32,,32,
1981-05-14,,,32,,32,
1981-05-15,,,32,,32,
1981-05-16,,,32,,32,
1981-05-17,,,32,,32,
1981-05-18,,,32,,32,
1981-05-19,,,32,,32,
1981-05-20,,,32,,32,
1981-05-21,,,,,,
1981-05-22,,,32,,32,
1981-05-23,,,32,,32,
1981-05-24,,,32,,32,
1981-05-25,,,32,,32,
1981-05-26,,,32,,32,
1981-05-27,,,32,,32,
