#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 908: Alpine Meadows, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Alpine Meadows (908) 
# Washington  SNOTEL Site - 3500 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: May 1, 2019 4:33:52 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1994-09-22,,,37,36,36,
1994-09-23,,,80,58,64,
1994-09-24,,,80,56,63,
1994-09-25,,,74,50,58,
1994-09-26,,,71,49,56,
1994-09-27,,,77,54,62,
1994-09-28,,,73,50,58,
1994-09-29,,,52,49,50,
1994-09-30,,,54,49,50,
1994-10-01,0.0,0.0,51,38,47,0.00
1994-10-02,0.0,0.0,47,35,41,0.00
1994-10-03,0.0,0.0,60,37,46,0.00
1994-10-04,0.0,0.0,62,42,49,0.00
1994-10-05,0.0,0.0,56,38,44,0.00
1994-10-06,0.0,0.0,47,38,42,0.00
1994-10-07,0.0,0.0,62,37,46,0.00
1994-10-08,0.0,0.0,71,47,53,0.00
1994-10-09,0.0,0.0,62,44,51,0.00
1994-10-10,0.0,0.0,44,37,40,0.10
1994-10-11,0.0,0.1,42,34,37,0.20
1994-10-12,0.0,0.3,53,34,39,0.00
1994-10-13,0.0,0.3,48,33,38,0.00
1994-10-14,0.0,0.3,38,34,36,1.70
1994-10-15,0.0,2.0,42,33,36,0.00
1994-10-16,0.0,2.0,56,33,40,0.10
1994-10-17,0.0,2.1,42,37,39,0.00
1994-10-18,0.0,2.1,50,37,40,0.00
1994-10-19,0.0,2.1,39,35,38,0.20
1994-10-20,0.0,2.3,43,36,40,3.10
1994-10-21,0.0,5.4,39,35,37,0.40
1994-10-22,0.0,5.8,43,32,37,0.30
1994-10-23,0.0,6.1,49,36,40,0.00
1994-10-24,0.0,6.1,62,38,46,0.20
1994-10-25,0.3,6.3,65,43,48,0.60
1994-10-26,0.6,6.9,46,38,42,2.60
1994-10-27,0.5,9.5,39,32,36,2.40
1994-10-28,0.5,11.9,34,32,32,1.40
1994-10-29,1.6,13.3,42,31,33,0.00
1994-10-30,1.5,13.3,34,31,32,0.70
1994-10-31,1.9,14.0,42,30,36,2.70
1994-11-01,3.2,16.7,30,28,29,2.70
1994-11-02,5.5,19.4,32,24,28,0.30
1994-11-03,5.6,19.7,31,24,27,0.40
1994-11-04,5.7,20.1,33,24,29,0.90
1994-11-05,6.6,21.0,42,22,27,0.00
1994-11-06,6.5,21.0,31,24,28,1.00
1994-11-07,7.5,22.0,32,30,31,0.90
1994-11-08,8.3,22.9,35,30,32,0.40
1994-11-09,8.5,23.3,35,31,32,0.40
1994-11-10,8.6,23.7,38,31,33,0.00
1994-11-11,8.6,23.7,34,29,31,0.80
1994-11-12,9.4,24.5,33,26,29,0.70
1994-11-13,10.0,25.2,35,30,32,0.50
1994-11-14,10.4,25.7,33,32,32,1.00
1994-11-15,11.4,26.7,35,30,32,0.80
1994-11-16,12.3,27.5,29,22,26,2.30
